date,open
2016/1/17,387.15
2016/1/18,381.73
2016/1/19,387.03
2016/1/20,379.74
2016/1/21,419.63
2016/1/22,409.75
2016/1/23,382.43
2016/1/24,388.1
2016/1/25,402.32
2016/1/26,392
2016/1/27,392.44
2016/1/28,395.15
2016/1/29,380.11
2016/1/30,378.86
2016/1/31,378.29
2016/2/1,369.35
2016/2/2,372.92
2016/2/3,374.65
2016/2/4,370.17
2016/2/5,388.9
2016/2/6,386.59
2016/2/7,376.51
2016/2/8,376.76
2016/2/9,373.42
2016/2/10,376.15
2016/2/11,382.11
2016/2/12,379.69
2016/2/13,384.64
2016/2/14,392.93
2016/2/15,407.57
2016/2/16,401.43
2016/2/17,407.66
2016/2/18,416.57
2016/2/19,422.73
2016/2/20,421.6
2016/2/21,437.77
2016/2/22,438.99
2016/2/23,438.26
2016/2/24,420.96
2016/2/25,425.04
2016/2/26,424.63
2016/2/27,432.84
2016/2/28,432.57
2016/2/29,433.44
2016/3/1,437.92
2016/3/2,435.13
2016/3/3,423.91
2016/3/4,421.84
2016/3/5,410.78
2016/3/6,400.52
2016/3/7,407.76
2016/3/8,414.46
2016/3/9,413.89
2016/3/10,414.74
2016/3/11,417.24
2016/3/12,421.61
2016/3/13,411.65
2016/3/14,414.2
2016/3/15,416.39
2016/3/16,416.89
2016/3/17,417.89
2016/3/18,420.55
2016/3/19,409.27
2016/3/20,410.4
2016/3/21,413.42
2016/3/22,413.13
2016/3/23,418.16
2016/3/24,418.42
2016/3/25,416.51
2016/3/26,417.36
2016/3/27,418.14
2016/3/28,426.55
2016/3/29,424.3
2016/3/30,416.83
2016/3/31,415.26
2016/4/1,416.76
2016/4/2,418.42
2016/4/3,421.17
2016/4/4,421.3
2016/4/5,421.02
2016/4/6,424.28
2016/4/7,423.62
2016/4/8,422.91
2016/4/9,420.81
2016/4/10,419.59
2016/4/11,421.87
2016/4/12,422.84
2016/4/13,425.63
2016/4/14,423.93
2016/4/15,424.43
2016/4/16,429.58
2016/4/17,430.64
2016/4/18,427.61
2016/4/19,428.7
2016/4/20,435.32
2016/4/21,441.42
2016/4/22,449.69
2016/4/23,445.86
2016/4/24,450.56
2016/4/25,459.12
2016/4/26,461.65
2016/4/27,466.26
2016/4/28,445.04
2016/4/29,449.41
2016/4/30,455.18
2016/5/1,448.48
2016/5/2,451.93
2016/5/3,444.73
2016/5/4,450.18
2016/5/5,446.71
2016/5/6,447.94
